data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG,SB_iters,SB_nnz,SB_OG
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_3.csv,0,0.01,0.0,0.9742821484188107,54,-25,1,0.0,54,1,0.0,33,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_16.csv,1,0.01,0.0,0.9588138431591651,23,-5,1,0.0,72,1,0.0,6,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_19.csv,2,0.01,0.0,0.9435911222695029,46,-30,1,0.0,82,1,0.0,22,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_15.csv,3,0.01,0.0,0.9286100867006545,62,-51,1,2.3565841899062684e-05,69,1,0.0,18,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_52.csv,4,0.01,0.0,0.9138668993071634,38,-6,1,0.0,38,1,0.0,19,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_20.csv,5,0.01,0.0,0.8993577838644646,20,-3,1,0.0,57,1,0.0,10,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_1.csv,6,0.01,0.0,0.8850790241016675,24,-1,2,0.0,60,2,0.0,16,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_91.csv,7,0.01,0.0,0.871026962749694,26,-6,1,0.0,111,1,0.0,10,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_94.csv,8,0.01,0.0,0.8571980006045284,24,4,1,0.0,59,1,0.0,25,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_58.csv,9,0.01,0.0,0.8435885956053424,25,-4,1,0.0,70,1,0.0,15,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_23.csv,10,0.01,0.0,0.8301952619272528,28,0,1,0.0,51,1,0.0,20,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_66.csv,11,0.01,0.0,0.8170145690884857,11,-7,1,0.0,198,1,0.0,166,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_56.csv,12,0.01,0.0,0.8040431410717159,11,3,1,0.0,94,1,0.0,19,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_46.csv,13,0.01,0.0,0.7912776554593537,7,3,2,0.0,96,3,0.0,15,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_81.csv,14,0.01,0.0,0.7787148425825643,18,7,1,0.0,43,1,0.0,24,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_10.csv,15,0.01,0.0,0.7663514846837944,6,8,1,0.0,8,1,0.0,7,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_51.csv,16,0.01,0.0,0.7541844150925981,12,-5,1,0.0,69,1,0.0,8,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_88.csv,17,0.01,0.0,0.7422105174145459,6,7,1,0.0,12,1,0.0,14,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_8.csv,18,0.01,0.0,0.7304267247330112,4,3,1,0.0,92,1,0.0,2,1,2.1192404550488588e-05
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_69.csv,19,0.01,0.0,0.7188300188236297,14,2,1,0.0,37,1,0.0,34,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_26.csv,20,0.01,0.0,0.7074174293812325,10,4,1,0.0,152,1,0.0,34,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,21,0.01,0.0,0.6961860332590499,17,5,1,0.0,60,1,0.0,35,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_30.csv,22,0.01,0.0,0.6851329537199968,9,7,1,0.0,14,1,0.0,6,1,0.0
