data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_rewards,MF_nnz,MF_OG
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_77.csv,0,0.0650586817840007,0.0,0.9774081302912798,340,-339,5,-0.021929891636785524,496,-495,5,-0.021929891636785524
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_58.csv,1,0.07202097904170722,0.0,0.964976417332823,180,-179,5,-0.0027439463194597457,178,-177,5,-0.002103435770735363
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_106.csv,2,0.07174893323578155,0.0,0.9527028240812648,607,-606,5,-0.007693900960464906,592,-591,5,-0.005352423610506608
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_491.csv,3,0.06810481979596515,0.0,0.9405853394025165,31,-30,5,-0.004931995064708577,31,-30,5,-0.004931995064708577
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_307.csv,4,0.06348577481444283,0.0,0.9286219777422252,22,-21,5,-0.011460149060845732,28,-27,5,-0.014138122509443733
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_237.csv,5,0.06373511015539768,0.0,0.9168107788004223,27,-26,5,-0.005476441274464545,27,-26,5,-0.005476441274464545
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_65.csv,6,0.06844414507219496,0.0,0.9051498072103156,33,-32,5,-0.00226313536797297,31,-30,5,-0.00226313536797297
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_433.csv,7,0.05935378755264687,0.0,0.893637152221158,34,-33,5,-0.04548262441399432,31,-30,5,-0.04548262441399432
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_306.csv,8,0.06761820571723891,0.0,0.8822709273851568,42,-41,5,-0.005284373575784822,29,-28,5,-0.00092731249291656
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_388.csv,9,0.0698534853016346,0.0,0.8710492702483629,970,-969,5,-0.014557597511134618,564,-563,5,-0.009437072788912313
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_475.csv,10,0.06438025206567338,0.0,0.8599703420454906,40,-39,5,-0.018147754147179587,30,-29,5,-0.018147754147179587
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_274.csv,11,0.06376125406845783,0.0,0.8490323273986208,37,-36,5,-0.005170717742809155,30,-29,5,-0.005170717742809155
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_208.csv,12,0.06413658944967612,0.0,0.8382334340197369,39,-38,5,-0.021203256907026995,30,-29,5,-0.021203256907026995
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_246.csv,13,0.06198837997875169,0.0,0.8275718924170403,41,-40,5,-0.009213767420686182,31,-30,5,-0.03263333387797263
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_345.csv,14,0.06151599085011168,0.0,0.8170459556050057,42,-41,5,-0.02370155632025698,31,-30,5,-0.02370155632025698
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_66.csv,15,0.0656296290117081,0.0,0.8066538988181217,35,-34,5,-0.015909745187045313,31,-30,5,-0.015909745187045313
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_180.csv,16,0.062388505763142296,0.0,0.7963940192282739,38,-37,5,-0.018362320118072588,28,-27,5,-0.016589366112683166
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_114.csv,17,0.06419107031403459,0.0,0.7862646356657214,45,-44,5,-0.012010147985533435,29,-28,5,-0.012010147985533435
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_93.csv,18,0.06426312437483432,0.0,0.7762640883436226,34,-33,5,-0.016291516185302835,30,-29,5,-0.010307683521690859
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_317.csv,19,0.06531955556449096,0.0,0.7663907385860653,40,-39,5,-0.01217504609587072,31,-30,5,-0.01217504609587072
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_368.csv,20,0.06759668222246412,0.0,0.7566429685595547,55,-54,5,-0.0027931743451701917,31,-30,5,-0.007112959208895735
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_72.csv,21,0.0606949667291637,0.0,0.7470191810079172,55,-54,5,-0.036705008659888225,31,-30,5,-0.03204664863028025
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_378.csv,22,0.06657489079807707,0.0,0.7375177989905772,48,-47,5,-0.004645102128947522,31,-30,5,-0.011642744119832894
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_232.csv,23,0.06608658507007063,0.0,0.7281372656241614,55,-54,4,0.0,769,-768,4,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_135.csv,24,0.06919625757598505,0.0,0.71887604382739,58,-57,5,-0.006288587696001897,31,-30,5,-0.006288587696001897
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_191.csv,25,0.06402576731010082,0.0,0.7097326160692131,68,-67,5,-0.013096723724330883,30,-29,5,-0.013096723724330883
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_336.csv,26,0.06753123199147947,0.0,0.7007054841201497,90,-89,5,-0.004847362820410986,31,-30,5,-0.010732281889758298
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_447.csv,27,0.06616026234977357,0.0,0.6917931688067901,74,-73,5,-0.0066517454914501555,31,-30,5,-0.01189182542435952
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_189.csv,28,0.06651158298351469,0.0,0.682994209769418,35,-34,5,-0.0020000998465298818,27,-26,5,-0.0020000998465298818
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_401.csv,29,0.06422943060083416,0.0,0.6743071652227244,46,-45,5,-0.008862273796639356,28,-27,5,-0.0005349035484294287
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_477.csv,30,0.06527747082854245,0.0,0.6657306117195513,60,-59,5,-0.007863844753079092,30,-29,5,-0.007354447237835515
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_163.csv,31,0.0689987282743234,0.0,0.6572631439176526,178,-177,5,-0.0042608949961447,396,-395,5,-0.0036636401108970334
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_399.csv,32,0.06592449298184494,0.0,0.6489033743494148,79,-78,5,-0.00017919209534608593,28,-27,5,-0.027414876707893228
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_203.csv,33,0.06355656557921532,0.0,0.6406499331945089,24,-23,5,-7.529129596370215e-05,25,-24,5,-0.019385626879600507
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_352.csv,34,0.06487407601480286,0.0,0.6325014680554323,27,-26,5,-0.0033288091369418535,29,-28,5,-0.020448961715785367
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_440.csv,35,0.06429154319760354,0.0,0.6244566437359081,81,-80,5,-0.028145850466015945,31,-30,5,-0.013887572692639707
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_201.csv,36,0.07001544181417008,0.0,0.6165141420221025,135,-134,5,-0.0037000508392073922,321,-320,5,-0.006368793092912256
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_460.csv,37,0.06801440160658948,0.0,0.6086726614666215,80,-79,5,-0.0015395072719870408,87,-86,5,-0.0022925164861520354
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_221.csv,38,0.06677776688374192,0.0,0.6009309171752603,62,-61,5,-0.006017409341178046,31,-30,5,-0.006017409341178046
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_408.csv,39,0.0631316318326302,0.0,0.5932876405964593,63,-62,5,-0.01981217123122439,25,-24,5,-0.005856751015171583
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_394.csv,40,0.0646784110946025,0.0,0.5857415793134447,53,-52,5,-0.02017557734895642,28,-27,5,-0.013934102510760648
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_332.csv,41,0.06477761786483788,0.0,0.5782914968390049,192,-191,5,-0.019996564603731695,31,-30,5,-0.014341431093987852
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_13.csv,42,0.06119298329465365,0.0,0.5709361724128857,63,-62,5,-0.03764080564330576,31,-30,5,-0.026311136497998763
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_432.csv,43,0.06964543984645953,0.0,0.5636744008017557,309,-308,5,-0.004763849651915968,392,-391,5,7.435946541815813e-05
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_59.csv,44,0.06539593620953515,0.0,0.5565049921017191,69,-68,5,-0.026058514165176915,31,-30,5,-0.00944212574173571
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_264.csv,45,0.0670499736076647,0.0,0.5494267715433381,93,-92,5,-0.00618545126418957,31,-30,5,-0.004787201858693263
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_285.csv,46,0.06795769801960984,0.0,0.5424385792991389,107,-106,5,-0.005479260307069816,371,-370,5,-0.005479260307069816
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_104.csv,47,0.06510799485543903,0.0,0.5355392702935645,50,-49,5,-0.00951105522495178,31,-30,5,-0.00951105522495178
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_98.csv,48,0.06507761876592574,0.0,0.5287277140153429,52,-51,5,-0.0032909943925303214,31,-30,5,-0.020336032076423986
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_479.csv,49,0.06381628820713905,0.0,0.5220027943322413,133,-132,5,-0.019086407123023282,27,-26,5,-0.004649196754863649
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_467.csv,50,0.06526517273425607,0.0,0.5153634093081814,65,-64,5,5.474775296298871e-05,31,-30,5,-0.0031528711708306936
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_436.csv,51,0.07029459957326274,0.0,0.5088084710226752,155,-154,5,-0.0013571329451706094,578,-577,5,-0.0019432495069234782
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_80.csv,52,0.06789064973077555,0.0,0.5023369053925635,65,-64,5,-0.006098240154240715,367,-366,5,-0.018769001681472396
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_334.csv,53,0.06380488323797563,0.0,0.49594765199601337,55,-54,5,-0.022777814273312595,30,-29,5,-0.017250354922825766
