data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG,SB_iters,SB_nnz,SB_OG
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_476.csv,0,0.01,0.0,0.9774081302912798,67,-66,2,0.0,69,2,0.0,12,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_62.csv,1,0.01,0.0,0.964976417332823,188,-187,1,0.0,188,1,0.0,183,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_215.csv,2,0.01,0.0,0.9527028240812648,25,-24,1,0.0,25,1,0.0,13,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_487.csv,3,0.01,0.0,0.9405853394025165,25,-24,1,0.0,95,1,0.0,13,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_431.csv,4,0.01,0.0,0.9286219777422252,8,-7,1,0.0,8,1,0.0,7,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_121.csv,5,0.01,0.0,0.9168107788004223,92,-91,2,0.0,88,2,0.0,31,2,2.0715912124255897e-05
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_28.csv,6,0.01,0.0,0.9051498072103156,5,-4,1,0.0,5,1,0.0,4,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_149.csv,7,0.01,0.0,0.893637152221158,15,-14,1,0.0,89,1,0.0,17,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_428.csv,8,0.01,0.0,0.8822709273851568,37,-36,1,0.0,65,1,0.0,22,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_196.csv,9,0.01,0.0,0.8710492702483629,17,-16,1,0.0,16,1,0.0,13,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_306.csv,10,0.01,0.0,0.8599703420454906,5,-4,1,0.0,5,1,0.0,9,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_392.csv,11,0.01,0.0,0.8490323273986208,13,-12,1,0.0,71,1,0.0,9,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_204.csv,12,0.01,0.0,0.8382334340197369,103,-102,1,0.0,95,1,0.0,11,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_236.csv,13,0.01,0.0,0.8275718924170403,104,-103,1,0.0,87,1,0.0,15,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_93.csv,14,0.01,0.0,0.8170459556050057,18,-17,3,0.0,17,3,0.0,4,3,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_379.csv,15,0.01,0.0,0.8066538988181217,178,-177,1,0.0,155,1,0.0,27,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_399.csv,16,0.01,0.0,0.7963940192282739,78,-77,1,0.0,65,1,0.0,8,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_12.csv,17,0.01,0.0,0.7862646356657214,87,-86,1,0.0,72,1,0.0,26,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_429.csv,18,0.01,0.0,0.7762640883436226,14,-13,1,0.0,175,1,0.0,19,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_113.csv,19,0.01,0.0,0.7663907385860653,16,-15,1,0.0,16,1,0.0,14,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_233.csv,20,0.01,0.0,0.7566429685595547,23,-22,2,0.0,207,2,0.0,7,2,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_364.csv,21,0.01,0.0,0.7470191810079172,127,-126,1,0.0,103,1,0.0,13,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_320.csv,22,0.01,0.0,0.7375177989905772,5,-4,1,0.0,199,1,0.0,31,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_138.csv,23,0.01,0.0,0.7281372656241614,187,-186,1,0.0,158,1,0.0,24,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_345.csv,24,0.01,0.0,0.71887604382739,8,-7,1,0.0,134,1,0.0,6,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_355.csv,25,0.01,0.0,0.7097326160692131,26,-25,2,0.0,22,2,0.0,10,2,0.0
