data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG,SB_iters,SB_nnz,SB_OG
x_gen_syn_n3_p110_corr0.9_snr3_b0.3_seed2043_0.csv,0,0.0656008079511394,0.0,0.05,1000,-48,1,0.2577247028937963,1000,6,0.4163822431775802,1000,5,0.2905037473115773
x_gen_syn_n3_p110_corr0.9_snr3_b0.3_seed2043_0.csv,0,0.0328004039755697,0.0,0.05,1000,-55,12,0.6621778676502438,1000,10,0.4885508351557759,1000,9,0.3839436772150704
x_gen_syn_n3_p110_corr0.9_snr3_b0.3_seed2043_0.csv,0,0.0218669359837131,0.0,0.05,1000,-57,15,0.7315445204677473,1000,12,0.5035573384199723,1000,10,0.3978343385909492
x_gen_syn_n3_p110_corr0.9_snr3_b0.3_seed2043_0.csv,0,0.0109334679918565,0.0,0.05,1000,-51,15,0.4242111545422695,1000,14,0.3471367081275279,1000,11,0.2338516843134413
x_gen_syn_n2_p100_corr0.8_snr5_b0.7_seed2032_0.csv,1,0.0685058704840715,0.0,0.05,1000,-49,10,0.743518434937559,1000,10,0.8024820156207981,1000,8,0.6165550871333896
x_gen_syn_n2_p100_corr0.8_snr5_b0.7_seed2032_0.csv,1,0.0342529352420357,0.0,0.05,1000,-57,10,0.3563459679558441,1000,10,0.4430870310372272,1000,10,0.4536935209365108
x_gen_syn_n2_p100_corr0.8_snr5_b0.7_seed2032_0.csv,1,0.0228352901613571,0.0,0.05,1000,-41,10,0.2560261630115929,1000,11,0.410018835513229,1000,10,0.337498387971455
x_gen_syn_n2_p100_corr0.8_snr5_b0.7_seed2032_0.csv,1,0.0114176450806785,0.0,0.05,1000,-61,20,0.7014562264717262,1000,22,0.9235762487679364,1000,18,0.7656439491912714
x_gen_syn_n3_p90_corr0.5_snr3_b0.7_seed2023_0.csv,2,0.0727108145749316,0.0,0.05,25,28,2,-0.0174880933553021,279,2,0.0,28,2,8.086261033192224e-05
x_gen_syn_n3_p90_corr0.5_snr3_b0.7_seed2023_0.csv,2,0.0363554072874658,0.0,0.05,102,60,2,0.0,1000,9,0.2688714076698781,1000,7,0.2109000325406627
x_gen_syn_n3_p90_corr0.5_snr3_b0.7_seed2023_0.csv,2,0.0242369381916438,0.0,0.05,1000,-52,9,0.0468509121509685,1000,9,0.1261651062450603,1000,9,0.1440223857088198
x_gen_syn_n3_p90_corr0.5_snr3_b0.7_seed2023_0.csv,2,0.0121184690958219,0.0,0.05,51,61,9,0.0,1000,16,0.3579780361180764,1000,16,0.4125209883590258
x_gen_syn_n3_p150_corr0.8_snr4_b0.1_seed2046_0.csv,3,0.0519229238392244,0.0,0.05,1000,-36,2,0.2300120245033802,1000,13,0.8253733110405223,1000,11,0.6952756791887864
x_gen_syn_n3_p150_corr0.8_snr4_b0.1_seed2046_0.csv,3,0.0259614619196122,0.0,0.05,1000,-44,15,0.4705230319945675,1000,15,0.5231566010333513,1000,15,0.5519957300476837
x_gen_syn_n3_p150_corr0.8_snr4_b0.1_seed2046_0.csv,3,0.0173076412797414,0.0,0.05,1000,-59,17,0.4575693448232243,1000,15,0.3679502915480475,1000,15,0.4080681833390426
