data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_476.csv,0,0.07028133757161258,0.0,0.9836836023736975,495,-466,5,-0.004752964725691122,489,5,-0.004752964725691122
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_62.csv,1,0.06711068232771038,0.0,0.9774075046251464,31,-7,5,-0.007178941153164911,31,5,-0.007178941153164911
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_215.csv,2,0.06582088478991191,0.0,0.9711714496330813,28,2,5,-0.0046410935207757496,28,5,-0.0046410935207757496
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_487.csv,3,0.06497607618133065,0.0,0.9649751819167228,31,-13,5,-0.00941250482570312,31,5,-0.00941250482570312
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_431.csv,4,0.06560624360620772,0.0,0.9588184476253092,34,-12,5,-0.021785947398062454,30,5,-0.021785947398062454
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_121.csv,5,0.06572931582923644,0.0,0.9527009945276976,124,-101,5,-0.004776338574142307,522,5,-0.004776338574142307
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_28.csv,6,0.0676294881775664,0.0,0.94662257200203,43,-26,5,-0.002028913644586905,31,5,-0.002028913644586905
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_149.csv,7,0.06727447715391303,0.0,0.9405829310254668,140,-114,5,-0.0023857938202609553,452,5,-0.0033407352161369907
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_428.csv,8,0.06844642555588043,0.0,0.9345818241639818,31,-10,5,-0.0026021343410654167,31,5,-0.0026021343410654167
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_196.csv,9,0.07119369590845841,0.0,0.9286190055622296,129,-86,3,0.0,377,3,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_306.csv,10,0.06761820571723891,0.0,0.9226942309334697,29,-6,5,-0.00092731249291656,29,5,-0.00092731249291656
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_392.csv,11,0.06302498503270607,0.0,0.9168072575495595,39,-17,5,-0.021365914876048348,30,5,-0.021365914876048348
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_204.csv,12,0.06591247089965888,0.0,0.9109578442310113,32,-7,5,-0.019620285398856848,30,5,-0.019620285398856848
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_236.csv,13,0.0640334445575499,0.0,0.9051457513371101,39,-20,5,-0.01399315263580646,31,5,-0.01399315263580646
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_93.csv,14,0.06426312437483432,0.0,0.8993707407560964,33,-10,5,-0.010307683521690859,30,5,-0.010307683521690859
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_379.csv,15,0.06360814255964586,0.0,0.8936325758954117,28,-9,5,-0.02334479735191749,28,5,-0.02334479735191749
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_399.csv,16,0.06592449298184494,0.0,0.8879310216720054,30,-9,5,-0.027414876707893228,28,5,-0.027414876707893228
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_12.csv,17,0.06457744288465925,0.0,0.882265844502703,29,-10,5,-0.02035299799436518,30,5,-0.009194863647560772
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_429.csv,18,0.0664072554297809,0.0,0.8766368122946375,40,-18,5,-0.014684297649757946,30,5,-0.0018499309268638043
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_113.csv,19,0.06596339663362162,0.0,0.8710436944357411,28,-6,5,-0.018766235809408456,28,5,-0.018766235809408456
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_233.csv,20,0.06900190385513714,0.0,0.8654862617852969,1000,-973,5,0.020383579290608498,900,4,-0.0006460249492840568
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_364.csv,21,0.0670845487319813,0.0,0.8599642866645514,30,-3,5,-0.0014306492346146862,31,5,-0.004886709244141105
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_320.csv,22,0.06666493819353361,0.0,0.8544775428473872,33,-15,5,-0.012131600080940807,31,5,-0.007758889946951249
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_138.csv,23,0.06553338297486962,0.0,0.8490258055510541,25,-1,5,-0.003984514795943883,26,5,-0.003984514795943883
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_345.csv,24,0.06151599085011168,0.0,0.8436088514269608,30,-13,5,-0.00900114704016189,31,5,-0.02370155632025698
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_355.csv,25,0.06679731942068036,0.0,0.8382264585515257,32,-7,5,-0.019646912573558634,30,5,-0.012432402310813903
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_82.csv,26,0.06601788446571125,0.0,0.8328784064170826,27,-3,5,-0.007844250250320022,27,5,-0.007844250250320022
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_477.csv,27,0.06527747082854245,0.0,0.827564475922849,47,-27,5,-0.007863844753079092,30,5,-0.007354447237835647
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_246.csv,28,0.06198837997875169,0.0,0.8222844493659485,36,-20,5,-0.03263333387797263,31,5,-0.03263333387797263
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_189.csv,29,0.06651158298351469,0.0,0.8170381104324935,35,-13,5,-0.0020000998465297473,27,5,-0.0020000998465297473
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_278.csv,30,0.06316679447730225,0.0,0.8118252441887217,31,-17,5,-0.003423652136397548,31,5,-0.003423652136397548
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_275.csv,31,0.06731683007254798,0.0,0.8066456370721903,64,-46,5,-0.013176207793777758,31,5,-0.013176207793777758
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_463.csv,32,0.06325747981900831,0.0,0.8014990768830288,79,-56,5,-0.01982437009445674,31,5,-0.01982437009445674
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_154.csv,33,0.06633114208126997,0.0,0.7963853527752435,552,-522,5,-0.007013177449379418,446,5,-0.007013177449379418
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_56.csv,34,0.06591290560035282,0.0,0.7913042552480805,50,-21,5,-0.007560372845745146,29,5,-0.0007242460662886603
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_491.csv,35,0.06810481979596515,0.0,0.7862555761374418,63,-40,5,-0.004931995064708707,31,5,-0.004931995064708707
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_472.csv,36,0.06528435195555476,0.0,0.7812391086073593,44,-16,5,-0.01300194658068732,28,5,-0.010203137263200757
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_150.csv,37,0.06305177427334012,0.0,0.7762546471415186,35,-19,5,-0.006529872924817474,25,5,-0.006529872924817474
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_452.csv,38,0.06424654773015162,0.0,0.7713019875348407,33,-12,5,-0.00835015627668318,27,5,-0.002412445038606087
